Contains those cutsetno whose eig val greater than J = 40.0000
sno.	Cutsetno	cutedges 	 eigval1 	 eigval2
0	 23919596		 91 	       50.15	        43.01
1	 23919597		 95 	       40.53	        44.26
2	 23919598		 91 	       44.87	        41.68
3	 24964072		 87 	       42.41	        40.09
4	 24967470		 91 	       40.39	        40.36
5	 24968172		 93 	       45.34	        45.37
6	 24969198		 98 	       40.18	        41.95
7	 25165679		 115 	       40.44	        43.20
8	 25165801		 106 	       46.85	        40.62
9	 25165803		 112 	       51.39	        45.62
10	 25165807		 122 	       40.00	        48.15
