Source,Target,Weight
2,0,12
2,1,15
3,0,5
3,1,2
3,2,14
4,0,18
4,1,16
4,2,19
4,3,1
5,1,10
5,2,5
5,3,13
6,0,8
7,3,6
7,4,14
7,6,9
8,2,18
8,5,13
9,0,2
9,4,12
9,6,15
9,7,2
9,8,19
10,0,18
10,1,11
10,6,7
11,0,1
11,1,12
11,2,7
11,6,7
11,7,3
11,8,11
11,9,20
12,2,17
12,7,7
12,10,14
13,0,3
13,1,15
13,2,4
13,3,6
13,6,2
13,11,4
14,3,7
14,8,16
14,9,2
14,11,19
14,12,3
14,13,7
15,1,1
15,3,13
15,4,15
15,5,16
15,7,12
15,10,7
15,11,15
15,14,10
16,0,16
16,1,2
16,4,19
16,5,3
16,6,3
16,8,7
16,9,15
16,10,15
16,12,20
16,13,2
17,0,12
17,1,8
17,4,5
17,6,5
17,7,10
17,9,3
17,12,2
17,16,6
18,0,20
18,2,16
18,4,3
18,5,4
18,7,10
18,8,8
18,11,9
18,13,2
18,15,14
19,3,15
19,4,3
19,5,3
19,15,15
19,16,4
20,0,15
20,1,7
20,3,20
20,8,9
20,9,9
20,10,4
20,13,18
20,15,6
20,16,17
20,17,7
21,2,15
21,9,20
21,10,10
21,12,16
21,13,15
21,15,10
21,18,4
21,20,18
22,0,15
22,2,11
22,3,1
22,4,15
22,6,7
22,7,8
22,12,14
22,13,4
22,14,16
22,15,9
22,17,5
22,19,14
22,20,13
23,1,7
23,2,16
23,3,11
23,4,20
23,7,13
23,9,5
23,10,13
23,16,8
23,17,15
23,18,4
23,19,6
23,20,5
24,0,4
24,2,7
24,3,8
24,4,1
24,5,17
24,6,17
24,8,12
24,9,6
24,13,20
24,15,2
24,16,20
24,18,1
24,19,16
24,20,18
24,21,13
